Date,Policy #,Queue,,,,
"Monday, January 30, 2017",VF53054560,Reissue,,,,
"Thursday, February 2, 2017",VF53049540,Reissue,,,,
"Thursday, February 2, 2017",VF53012440,Reissue,,,,
"Monday, February 6, 2017",VF53062290,Reissue,,,,
"Thursday, February 9, 2017",VF53040060,Reissue,,,,
"Thursday, February 16, 2017",VF53060220,Reissue,,,,
"Thursday, February 16, 2017",VF53029360,Reissue,,,,
"Wednesday, February 22, 2017",VF53040860,Reissue,,,,
"Wednesday, February 22, 2017",VF53041390,Reissue,,,,
"Thursday, February 23, 2017",VF53043870,Reissue,,,,
"Thursday, February 23, 2017",VF53048450,Reissue,,,,
"Thursday, March 2, 2017",VF53017140 ,Reissue,,,,
"Thursday, March 2, 2017",VF53057620,Reissue,,,,
"Thursday, March 2, 2017",VF53061320,Reissue,,,,
"Monday, March 6, 2017",VF53056590,Reissue,,,,
"Monday, March 6, 2017",VF53010810,Reissue,,,,
"Monday, March 6, 2017",VF53050510,Reissue,,,,
"Tuesday, March 7, 2017",VF53046850,Reissue,,,,
"Wednesday, March 15, 2017",VF53055200,Reissue,,,,
"Wednesday, March 15, 2017",VF53045440,Reissue,,,,
"Wednesday, March 15, 2017",VF53066940,Reissue,,,,
"Thursday, March 16, 2017",VF53048590,Reissue,,,,
"Thursday, March 16, 2017",VF53059560,Reissue,,,,
"Tuesday, March 21, 2017",VF53066940 ,Reissue,,,,
"Wednesday, March 22, 2017",VF53064580,Reissue,,,,
"Wednesday, March 22, 2017",VF53025500,Reissue,,,,
"Wednesday, March 22, 2017",VF53002390,Reissue,,,,
"Thursday, March 23, 2017",VF53061090,Reissue,,,,
"Thursday, March 23, 2017",VF52991840,Reissue,,,,
"Monday, March 27, 2017",VF53067950,Reissue,,,,
"Monday, March 27, 2017",VF53055310,Reissue,,,,
"Wednesday, March 29, 2017",VF53008030,Reissue,,,,
"Monday, April 3, 2017",VF53040450,Reissue,,,,
"Monday, April 3, 2017",VF53066810,Reissue,,,,
"Monday, April 3, 2017",VF53076520,Reissue,,,,
"Monday, April 3, 2017",VF53055200,Reissue,,,,
"Tuesday, April 4, 2017",VF53056600,Reissue,,,,
"Tuesday, April 4, 2017",VF53071150,Reissue,,,,
"Tuesday, April 4, 2017",VF53077680,Reissue,,,,
"Tuesday, April 4, 2017",VF53055450,Reissue,,,,
"Thursday, April 6, 2017",VF53066190,Reissue,,,,
"Thursday, April 6, 2017",VF53063090,Reissue,,,,
"Thursday, April 6, 2017",VF53066460,Reissue,,,,
"Monday, April 10, 2017",VF53076120,Reissue,,,,
"Monday, April 10, 2017",VF53084780,Reissue,,,,
"Tuesday, April 11, 2017",VF53063710,Reissue,,,,
"Tuesday, April 11, 2017",VF53047730,Reissue,,,,
"Tuesday, April 18, 2017",VF53050930,Reissue,,,,
"Thursday, April 20, 2017",VF53045120,Reissue,,,,
"Thursday, April 20, 2017",VF53039660,Reissue,,,,
"Thursday, April 20, 2017",VF53039670,Reissue,,,,
"Thursday, April 20, 2017",VF53081280,Reissue,,,,
"Friday, April 21, 2017",VF53057150,Reissue,,,,
"Friday, April 21, 2017",VF53030050,Reissue,,,,
"Wednesday, April 26, 2017",VF53068920,Reissue,,,,
"Wednesday, April 26, 2017",VF53079420,Reissue,,,,
"Friday, April 28, 2017",VF53056700,Reissue,,,,
"Wednesday, May 17, 2017",VF53086080,Reissue,,,,
"Wednesday, May 17, 2017",VF53070100,Reissue,,,,
"Friday, May 19, 2017",VF53075880,Reissue,,,,
"Friday, May 19, 2017",VF53078450,Reissue,,,,
"Thursday, May 25, 2017",VF53040250,Reissue,,,,
"Wednesday, June 7, 2017",VF53067530,Reissue,,,,
"Wednesday, June 7, 2017",VF53069010,Reissue,,,,
"Wednesday, June 7, 2017",VF53091940,Reissue,,,,
"Monday, June 12, 2017",VF53101470,Reissue,,,,
"Monday, June 12, 2017",VP66278400,Reissue,,,,
"Monday, June 19, 2017",VF53101070,Reissue,,,,
"Monday, June 19, 2017",VF53098250,Reissue,,,,
"Monday, June 19, 2017",VF53083070,Reissue,,,,
"Monday, June 26, 2017",VF53118860,Reissue,,,,
"Monday, June 26, 2017",VF53107780,Reissue,,,,
"Monday, June 26, 2017",VF53077880,Reissue,,,,
"Wednesday, June 28, 2017",VF53120530,Reissue,,,,
"Thursday, June 29, 2017",VF53072850,Reissue,,,,
"Friday, July 7, 2017",VF53096510,Reissue,,,,
"Friday, July 7, 2017",VF53096460,Reissue,,,,
"Thursday, July 20, 2017",VP66284010,Reissue,,,,
"Thursday, July 20, 2017",VP66288300,Reissue,,,,
"Wednesday, July 26, 2017",VF53133430,Reissue,,,,
"Wednesday, July 26, 2017",VF53122290,Reissue,,,,
"Thursday, July 27, 2017",VF53051860,Reissue,,,,
"Thursday, July 27, 2017",VF53106810,Reissue,,,,
"Wednesday, August 9, 2017",VF53108140,Reissue,,,,
"Wednesday, August 9, 2017",VF53107450,Reissue,,,,
"Thursday, August 17, 2017",VF53108280,Reissue,,,,
"Thursday, August 17, 2017",VF53134800,Reissue,,,,
"Wednesday, August 30, 2017",VF53116140,Reissue,,,,
"Wednesday, August 30, 2017",VP66297130,Reissue,,,,
"Wednesday, August 30, 2017",VP66294770,Reissue,,,,
"Wednesday, August 30, 2017",VP66292920,Reissue,,,,
"Tuesday, September 12, 2017",VF53144390,Reissue,,,,
"Tuesday, September 12, 2017",VF53132320,Reissue,,,,
"Tuesday, September 12, 2017",VF53140000,Reissue,,,,
"Wednesday, October 25, 2017",VF53168740 ,Reissue,,,,
"Wednesday, October 25, 2017",VF53135960,Reissue,,,,
"Wednesday, October 25, 2017",VF53082900,Reissue,,,,
"Monday, November 6, 2017",VF53081180,Reissue,,,,
"Monday, November 6, 2017",VF53162920,Reissue,,,,
"Monday, November 6, 2017",VF53167380,Reissue,,,,
"Monday, November 6, 2017",VF53181500,Reissue,,,,
"Monday, November 6, 2017",VF53166720,Reissue,,,,
"Friday, November 17, 2017",VF53144950,Reissue,,,,
"Friday, November 17, 2017",VF53137090,Reissue,,,,
"Monday, November 20, 2017",VF53184970,Reissue,,,,
"Monday, November 20, 2017",VF53174490,Reissue,,,,
"Monday, November 20, 2017",VF53160720,Reissue,,,,
"Monday, November 20, 2017",VF53097620,Reissue,,,,
"Monday, November 20, 2017",VF53146010,Reissue,,,,
"Thursday, January 4, 2018",VF53204400,Reissue,,,,
"Monday, February 5, 2018",VF53105680,Reissue,,,,
"Monday, February 5, 2018",VF53197910,Reissue,,,,
"Monday, February 5, 2018",VF53167390,Reissue,,,,
"Friday, February 9, 2018",VF53153710,Reissue,,,,
"Friday, February 9, 2018",VF53149060,Reissue,,,,
"Friday, February 9, 2018",VF53205000,Reissue,,,,
"Monday, February 12, 2018",VF53206540,Reissue,,,,
"Monday, February 26, 2018",VF53131300,Reissue,,,,
"Monday, February 26, 2018",VF53163730,Reissue,,,,
"Monday, February 26, 2018",VF53163740,Reissue,,,,
"Tuesday, February 27, 2018",VF53147800,Reissue,,,,
"Wednesday, March 28, 2018",VF53193860,Reissue,,,,
"Wednesday, April 11, 2018",VF53170930,Reissue,,,,
"Monday, April 23, 2018",VF53232060 ,Reissue,,,,
"Wednesday, May 9, 2018",VP66323570,Reissue,,,,
"Monday, May 14, 2018",VF53223490,Reissue,,,,
"Monday, June 4, 2018",VF53215160,Reissue,,,,
"Monday, July 2, 2018",VF53296450,Reissue,,,,
