Date,Policy #,Option,Queue
"Wednesday, October 25, 2017",VF53151960,1,SIT set up
"Wednesday, October 25, 2017",VF53151950,2,SIT set up
"Thursday, October 26, 2017",VF53167370,1,SIT set up
"Friday, October 27, 2017",VF53159020,2,SIT set up
"Tuesday, October 31, 2017",VF53180250,1,SIT set up
"Wednesday, November 8, 2017",VF53142800,2,SIT set up
"Wednesday, November 8, 2017",VF53169390,3,SIT set up
"Thursday, November 9, 2017",VF53158090,1,SIT set up
"Friday, November 10, 2017",VF53124870,2,SIT set up
"Tuesday, November 28, 2017",VF53174520,2,SIT set up
"Tuesday, November 28, 2017",VF53169430,3,SIT set up
"Thursday, December 7, 2017",VF53189610,1,SIT set up
"Thursday, December 7, 2017",VF53185180,1,SIT set up
"Thursday, December 7, 2017",VF53184820,2,SIT set up
"Thursday, December 7, 2017",VF53184100,2,SIT set up
"Tuesday, January 9, 2018",VF53195310,3,SIT set up
"Wednesday, January 24, 2018",VF53209820,3,SIT set up
"Wednesday, February 7, 2018",VF53188400,3,SIT set up
"Thursday, March 15, 2018",VF53220840,2,SIT set up
"Thursday, March 22, 2018",VF53220300,2,SIT set up
"Monday, March 26, 2018",VF53247890,1,SIT set up
"Wednesday, March 28, 2018",VF53230700,1,SIT set up
"Monday, April 9, 2018",VF53235230 ,1,SIT set up
"Monday, April 9, 2018",VF53235240,1,SIT set up
